семейство,тип,настроек,медиана_проверка,плюсовых,медиана_обучение,топ3_проверка,единица
xsmom,портфель,108,-26.4,22,35.2,"-60.9%, -18.0%, -9.8%",%/год
donchian,монета,16,0.051,94,0.11,"+0.112, +0.186, +0.197",R/сделку
ma_cross,монета,32,0.062,91,0.136,"+0.121, +0.141, +0.113",R/сделку
rsi_momo,монета,32,0.062,88,0.063,"+0.049, +0.209, +0.032",R/сделку
supertrend,монета,32,0.066,84,0.046,"+0.046, +0.171, +0.099",R/сделку
keltner,монета,32,0.042,75,0.08,"+0.045, +0.012, +0.041",R/сделку
pullback,монета,16,0.016,75,0.062,"+0.107, +0.010, -0.041",R/сделку
tsmom,монета,32,0.054,72,0.064,"+0.088, +0.076, +0.078",R/сделку
bb_squeeze,монета,32,0.045,66,0.092,"-0.017, -0.129, -0.092",R/сделку
macd,монета,16,0.006,50,0.06,"-0.103, +0.198, -0.072",R/сделку
nr7,монета,32,-0.004,47,0.086,"+0.083, -0.181, +0.318",R/сделку
zscore,монета,32,-0.098,3,-0.109,"-0.127, -0.177, -0.033",R/сделку
meanrev,монета,16,-0.132,0,-0.095,"-0.214, -0.206, -0.018",R/сделку
